Price,Close,High,Low,Open,Volume
Ticker,,,,,
Date,,,,,
02-01-2015,24.28858757,24.75734211,23.84871302,24.74623351,212818400
05-01-2015,23.60433578,24.13751641,23.4177235,24.05753924,257142000
06-01-2015,23.60655594,23.8664809,23.2444366,23.66876003,263188400
07-01-2015,23.93756676,24.03753736,23.70429977,23.81537896,160423600
08-01-2015,24.85731125,24.91507293,24.14862518,24.2663706,237458000
09-01-2015,24.88396454,25.1594405,24.48407871,25.03058821,214798000
12-01-2015,24.27081299,25.02170801,24.17084235,25.01504353,198603200
13-01-2015,24.48630333,25.05947251,24.19527632,24.75511484,268367600
14-01-2015,24.39299774,24.54628591,24.10419109,24.22415685,195826400
15-01-2015,23.73096657,24.4507595,23.6954221,24.43743054,240056000
16-01-2015,23.54656982,23.89980258,23.37106447,23.77761478,314053200
20-01-2015,24.15306473,24.20860434,23.65987274,23.95756423,199599600
21-01-2015,24.33745766,24.67291568,24.05309343,24.20416124,194303600
22-01-2015,24.97060966,24.98616069,24.37522496,24.49519073,215185600
23-01-2015,25.0994606,25.27052185,24.77732986,24.9483928,185859200
26-01-2015,25.1261158,25.40603587,25.05946929,25.26829705,222460000
27-01-2015,24.24637032,24.98838033,24.22193275,24.97504968,382274800
28-01-2015,25.61709023,26.24135662,25.61709023,26.13249776,585908400
29-01-2015,26.41463852,26.47906467,25.67262846,25.84146934,337745600
30-01-2015,26.0280838,26.65901296,25.95921353,26.30355979,334982000
02-02-2015,26.35465431,26.47462007,25.78815132,26.22580371,250956400
03-02-2015,26.35909843,26.45684699,26.12805346,26.32577433,207662800
04-02-2015,26.56125832,26.77230982,26.28356031,26.32577095,280598800
05-02-2015,26.75084496,26.81552537,26.59695011,26.76868648,168984800
06-02-2015,26.52557564,26.81998203,26.418518,26.76868318,174826400
09-02-2015,26.7017765,26.72853964,26.41406087,26.44082571,155559200
10-02-2015,27.2147522,27.24374786,26.79990832,26.80213745,248034000
11-02-2015,27.85264015,27.86156177,27.32181689,27.38203566,294247200
12-02-2015,28.20502853,28.43252537,28.00652736,28.11581412,297898000
13-02-2015,28.34331703,28.3879234,28.02437659,28.3879234,217088800
17-02-2015,28.51059151,28.74477916,28.30762865,28.43475865,252609600
18-02-2015,28.70908546,28.72246703,28.42582986,28.46597626,179566800
19-02-2015,28.64886856,28.77822938,28.62210543,28.65555934,149449600
20-02-2015,28.88306236,28.88306236,28.55966196,28.68679027,195793600
23-02-2015,29.66367722,29.66367722,28.91874057,28.99903337,283896400
24-02-2015,29.47856331,29.79750543,29.2555281,29.65030137,276912400
25-02-2015,28.72469711,29.35142878,28.58195475,29.34250547,298846800
26-02-2015,29.08824921,29.18861436,28.23848567,28.72470076,365150000
27-02-2015,28.65110397,29.12170839,28.60203596,28.99457669,248059200
02-03-2015,28.79161263,29.05702505,28.61541632,28.82729907,192386800
03-03-2015,28.85183716,28.88752361,28.56858147,28.76262443,151265200
04-03-2015,28.66894341,28.89644026,28.61987879,28.79384598,126665200
05-03-2015,28.19387627,28.71577774,28.04890307,28.67786217,226068400
06-03-2015,28.23626328,28.85407019,28.1604321,28.63772572,291368400
09-03-2015,28.35669136,28.89866859,27.8927778,28.53958013,354114000
10-03-2015,27.7701149,28.37454012,27.6117601,28.19388214,275426400
11-03-2015,27.26382065,27.8280994,27.23482669,27.82363944,275756000
12-03-2015,27.75673485,27.85710173,27.12777554,27.27943957,193450800
13-03-2015,27.56492424,27.96861918,27.33965987,27.74558394,207309200
16-03-2015,27.86824799,27.86824799,27.40433606,27.62960039,143497200
17-03-2015,28.33439636,28.39684596,28.02437752,28.08013633,204092400
18-03-2015,28.65332603,28.80722083,28.18495256,28.32546409,261083600
19-03-2015,28.43699074,28.82730238,28.41468756,28.71578476,183238000
20-03-2015,28.08012962,28.63771587,27.91508407,28.60426196,274780400
23-03-2015,28.37230682,28.51504921,28.218412,28.35223447,150838800
24-03-2015,28.25633049,28.55742597,28.22733482,28.3767697,131369200
25-03-2015,27.51807976,28.28532132,27.51807976,28.22287174,206620800
26-03-2015,27.70989037,27.85263275,27.34411281,27.37979925,190291600
27-03-2015,27.48909569,27.81249613,27.41326452,27.78350216,158184800
30-03-2015,28.18495941,28.1916502,27.65636536,27.66751781,188398800
31-03-2015,27.75226784,28.21171977,27.73665544,28.12250536,168362400
01-04-2015,27.71212769,27.90616895,27.45563683,27.8392577,162485600
02-04-2015,27.95076752,28.00429548,27.69873839,27.88608711,128880400
06-04-2015,28.40353584,28.4392223,27.72997021,27.761195,148776000
07-04-2015,28.10466766,28.5752704,28.09797688,28.46821445,140049200
08-04-2015,28.01321793,28.19164675,27.87270638,28.06897672,149316800
09-04-2015,28.22732925,28.23179091,27.80356381,28.0689745,129936000
10-04-2015,28.34777069,28.3723047,27.93738678,28.0912799,160752000
13-04-2015,28.29200935,28.6756318,28.23848139,28.63102204,145460400
14-04-2015,28.16934776,28.39015214,28.08236417,28.32547173,102098400
15-04-2015,28.27640915,28.35447115,28.10467275,28.19388719,115881600
16-04-2015,28.14035606,28.34777891,28.12697449,28.16489008,113476000
17-04-2015,27.82364464,28.13366347,27.75896422,28.0020735,207828000
20-04-2015,28.45928574,28.57526327,27.91731024,28.00652464,188217200
21-04-2015,28.30540085,28.59311479,28.25187117,28.57081331,129740400
22-04-2015,28.68678856,28.74254736,28.17380858,28.32324177,150618000
23-04-2015,28.92097855,29.08825497,28.57973491,28.61542136,183083600
24-04-2015,29.057024,29.13508768,28.82283637,29.10386289,178103600
27-04-2015,29.58562279,29.69268215,29.25106993,29.50979162,387816800
28-04-2015,29.11946869,30.00714763,28.89866607,29.98930782,475696000
29-04-2015,28.69124985,29.34920305,28.61541869,29.03026433,253544400
30-04-2015,27.91285324,28.69124555,27.78572326,28.69124555,332781600
01-05-2015,28.76038551,29.02356879,27.94630848,28.1247356,234050400
04-05-2015,28.70462608,29.12170417,28.60649006,28.8830549,203953200
05-05-2015,28.05782318,28.64886498,28.05336153,28.58195375,197085600
06-05-2015,27.88163567,28.2697165,27.51362718,28.22733926,288564000
07-05-2015,28.05408859,28.23774134,27.77636846,27.9443436,175763600
08-05-2015,28.58264732,28.58264732,28.24445693,28.37211796,222201600
11-05-2015,28.29149246,28.56921088,28.13695479,28.53113692,168143200
12-05-2015,28.19070435,28.4169096,27.9555385,28.13023235,192640000
13-05-2015,28.22206497,28.48634594,28.19070975,28.2534202,138776800
14-05-2015,28.88051987,28.88051987,28.47962078,28.53561248,180814000
15-05-2015,28.84020424,29.0014606,28.71478338,28.90739496,152832000
18-05-2015,29.15824127,29.27694341,28.74838158,28.75286187,203531600
19-05-2015,29.13136292,29.31277547,29.03505542,29.27022124,178532800
